NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,TOTAL_PROPERTY,PROP_FREIGHT,PROP_BAG,TOTAL_CHARTER,CHARTER_PAX,CHARTER_PROP,TOTAL_MISC_REV,RES_CANCEL_FEES,MISC_OP_REV,PUB_SVC_REVENUE,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,PROMOTION_SALES,GENERAL_ADMIN,GENERAL_SERVICES,DEPREC_AMORT,TRANS_EXPENSES,OP_EXPENSES,INTEREST_LONG_DEBT,INTEREST_EXP_OTH,FOREIGN_EX_GAINS,CAP_GAINS_PROP,CAP_GAINS_OTHER,OTHER_INCOME_NET,NON_OP_INCOME,INCOME_PRE_TAX,INCOME_TAX,INCOME_BEFORE_OTH,DISCONT_OPS,EXTRA_ITEMS,INCOME_TAX_EXTRA,INCOME_TAX_CREDITS,ACCTG_CHANGES,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER,YearQuarter,YearQuarter_UniqueCarrierName,SGeneral_Admin,Mail,FUEL RATE,FUEL_EXP,FUEL_EXP/PAX ( in cents)
-90506.64,-97896.7,608244.59,0,,0,223586.77,,0,0,,25230.28,316621.4,0,1970.29,1175653.34,715611.16,71797.46,60194.01,97350.51,41823.24,218843.15,0,67930.5,0,1273550.03,0,-25007.16,-340.88,0,0,-130.65,-25478.7,-123375.39,-32868.75,-90506.64,0,0,0,,0,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,6830,D,3,3,2023,1,20231,20231Spirit Air Lines,218843.15,0,3.43,487.711,4.606388843
-13404.54,-14499.05,90084.45,0,,0,33114.46,,0,0,,3736.75,46893.41,0,291.81,174120.87,105986.04,10633.61,8915.07,14418.16,6194.26,32411.9,0,10060.89,0,188619.93,0,-3703.7,-50.49,0,0,-19.35,-3773.54,-18272.59,-4868.05,-13404.54,0,0,0,,0,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,16831,L,3,3,2023,1,20231,20231Spirit Air Lines,218843.15,0,3.43,487.711,4.606388843
-153850,-274205,4697111,587,,38321,15128,,5787,0,,,714492,0,33340,5504766,2457115,476430,435702,1066407,272711,685707,,351998,32901,5778971,-61202,3871,-1099,0,,135485,77055,-197150,-43300,-153850,0,0,0,-153850,0,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,6725,D,3,3,2023,1,20231,20231Southwest Airlines Co.,685707,587,3.33,1547,5.971378454
-5624,-10024,171729,21,,1401,553,,212,0,,,26122,0,1219,201257,89833,17419,15930,38988,9971,25069,,12868,1203,211281,-2238,142,-40,0,,4953,2817,-7207,-1583,-5624,0,0,0,-5624,0,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,11033,L,3,3,2023,1,20231,20231Southwest Airlines Co.,685707,587,3.33,1547,5.971378454
-185853,437900,5914695,9697,,60430,172908,,77822,85,,21885,1021000,0,2275199,9553721,2643680,762432,806149,1367143,619347,614494,,417609,1884967,9115821,-186331,-12578,-9277,20193,0,-538496,-726489,-288589,-102736,-185853,0,0,0,,0,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,1260,D,3,3,2023,1,20231,20231Delta Air Lines Inc.,614494,9697,3.01,2676,7.522243113
-123079,-12145,1137211,8075,,89154,17986,,4090,15,,3056,221838,0,8494,1489919,682242,127896,145538,246816,111813,110937,,69784,7038,1502064,-33639,-2271,0,3646,0,-97217,-129481,-141626,-18547,-123079,0,0,0,,0,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10261,A,3,3,2023,1,20231,20231Delta Air Lines Inc.,614494,9697,3.01,2676,7.522243113
-5983,33387,412208,-266,,25493,3487,,0,5,,455,78611,0,16850,536843,213434,37525,51651,87594,39682,39371,,20239,13960,503456,-11938,-806,0,1294,0,-34502,-45952,-12565,-6582,-5983,0,0,0,,0,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10262,P,3,3,2023,1,20231,20231Delta Air Lines Inc.,614494,9697,3.01,2676,7.522243113
42086,130143,929796,0,,16337,31874,,444,12,,4433,174663,0,50863,1208422,387329,103832,115524,195917,88756,88059,,56722,42140,1078279,-26702,-1802,0,2894,0,-77169,-102779,27364,-14722,42086,0,0,0,,0,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10260,L,3,3,2023,1,20231,20231Delta Air Lines Inc.,614494,9697,3.01,2676,7.522243113
-294047.62,-294047.62,895106.59,7515.7,,124382.84,8503.14,,0,0,,676.67,106397.22,0,26851.17,1169433.32,630708.76,185401.09,119344.43,179890.88,73398.78,201394.12,0,68239.18,5103.7,1463480.94,0,0,0,0,0,0,0,-294047.62,0,-294047.62,0,0,0,,0,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10049,A,3,3,2023,1,20231,20231American Airlines Inc.,929734.77,1510.89,3.28,3167,8.317576249
-25732.35,-25732.35,211237.52,1080.27,,17770.59,1414.4,,0,0,,160.05,26265.74,0,6640.9,264569.46,118500.3,38259.85,24615.25,37116.91,15123.68,41547.69,0,14084.2,1053.94,290301.81,0,0,0,0,0,0,0,-25732.35,0,-25732.35,0,0,0,,0,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10052,P,3,3,2023,1,20231,20231American Airlines Inc.,929734.77,1510.89,3.28,3167,8.317576249
48084.04,402729.51,6145310.24,1510.89,,24597.79,239818.98,,6407.57,0,,6141.43,567053.51,0,1639815.38,8630655.8,2692858.86,856558.2,551371.23,830899.19,338552.36,929734.77,0,315606.92,1712344.77,8227926.29,-514937.07,-34861.18,-7456.84,0,0,232584.84,-324670.25,78059.26,29975.21,48084.04,0,0,0,,0,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,0A050,D,3,3,2023,1,20231,20231American Airlines Inc.,929734.77,1510.89,3.28,3167,8.317576249
356274.83,356274.83,1796986.18,2650.77,,43205.58,75559.49,,0,0,,1459.06,162274.63,0,41052.76,2123188.47,724108.45,232287.73,149390.72,225302.19,91657.3,252206.5,0,85558.72,6402.02,1766913.64,0,0,0,0,0,0,0,356274.83,0,356274.83,0,0,0,,0,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10050,L,3,3,2023,1,20231,20231American Airlines Inc.,929734.77,1510.89,3.28,3167,8.317576249
-258801.65,-234102.19,5015655.46,10224.02,,68087.22,210466.52,,17355.33,,,14135.75,2404.92,,1828354.96,7166684.19,2484740.98,719231.35,487044.72,1439040.96,344306.2,447484.94,,358956.18,1119981.05,7400786.38,-262822.7,120053.7,414.55,,,35918.04,-106436.42,-340538.61,-81736.96,-258801.65,,,,-258801.65,,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,0A875,D,3,3,2023,1,20231,20231United Air Lines Inc.,447484.94,10224.02,3.33,3174,10.67814784
-138721.03,-133100.8,1588770.43,7883.09,,164140,18393.12,,,,,3608.64,825.09,,48867.65,1832488.01,885720.21,186443.47,226099.81,270020.51,103863.32,122880.89,,141828.21,28732.39,1965588.81,-110009.45,43817.81,5466.92,,,11130.13,-49594.59,-182695.39,-43974.37,-138721.03,,,,-138721.03,,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10874,A,3,3,2023,1,20231,20231United Air Lines Inc.,447484.94,10224.02,3.33,3174,10.67814784
67685.08,125578.3,949128.41,18599.1,,96662.91,8352.2,,568.46,,,2140.93,453.75,,37682.76,1113588.52,480743.75,74389.5,110489.56,108198.83,61932.4,70964.75,,66399.46,14891.97,988010.22,-65632.05,22600.45,1208.27,,,5312,-36511.33,89066.97,21381.89,67685.08,,,,67685.08,,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10877,P,3,3,2023,1,20231,20231United Air Lines Inc.,447484.94,10224.02,3.33,3174,10.67814784
135770.26,199053.99,1127514.63,804.79,,31355.43,46914.6,,,,,2544.36,523.03,,106609.81,1316266.65,478079.74,108783.59,90260.3,203628.55,58023.69,63507.44,,59232.82,55696.53,1117212.65,-47111.68,21487.51,-125.09,,,5388.9,-20360.37,178693.63,42923.36,135770.26,,,,135770.26,,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10876,L,3,3,2023,1,20231,20231United Air Lines Inc.,447484.94,10224.02,3.33,3174,10.67814784
-1490.21,-1296.51,,,,,,,,,,,,,11920.06,11920.06,7453.09,2458.03,,,,,2860.48,444.96,,13216.56,-193.71,,,,,,-193.71,-1490.21,,-1490.21,,,,,,21754,2PQ,21 Air LLC,2PQ,21 Air LLC,1207,S,1,1,2023,1,20231,2023121 Air LLC,#N/A,#N/A,#N/A,#N/A,#N/A
257.09,437.75,0,,,5562.55,0,,0,4712.35,,0,211.68,0,0,10486.58,4353.03,4113.42,0,90.56,5.58,709.53,,538.48,238.23,10048.83,0,-180.66,0,0,0,0,-180.66,257.09,0,257.09,0,0,0,,0,20453,ABX,ABX Air Inc,ABX,ABX Air Inc,11009,A,2,2,2023,1,20231,20231ABX Air Inc,#N/A,#N/A,#N/A,#N/A,#N/A
